"family","setting","frame","outcome","rmse","rmse_mcse","mean_bias","mean_absolute_bias","n","n_total"
"mixed_factor","NN=200;a=1","aug-d-balance (individual)","fe",1.52715590315544,0.0294551806220447,1.46855484197805,1.46855484197805,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (individual)","gsynth",0.207100960223297,0.00932019940093711,0.125898893892682,0.171668741973236,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (individual)","ife",0.18824526439423,0.00842084513998242,0.108331324838867,0.155365510252175,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (individual)","MCPanel",1.15388711673108,0.0208778328919279,1.11684300405939,1.11684300405939,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (individual)","VAR",0.389230531846265,0.0205239048942832,-0.0161688828048716,0.31475483106976,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual individual)","fe",1.51391932194891,0.0297990163788193,1.45339245899936,1.45339245899936,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual individual)","gsynth",0.0899609153265953,0.00421358956442113,0.0261976332128565,0.0715750483505831,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual individual)","ife",0.0903056488563826,0.00425678318902957,0.0257440084390863,0.0717564238109322,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual individual)","MCPanel",1.60087354019844,0.0199779789923907,1.57603273452922,1.57603273452922,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual individual)","VAR",0.440689160526396,0.0231497977201598,0.211349578253242,0.344727268736779,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual)","fe",1.78040700849898,0.0227479635353286,1.75152576956253,1.75152576956253,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual)","gsynth",0.091422253059371,0.00421538149547904,0.0286520711858128,0.0728382609622604,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual)","ife",0.0907291477238437,0.00425771121753715,0.026332618211701,0.0721869671842466,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual)","MCPanel",1.49611782804439,0.0189112331561506,1.47235904493624,1.47235904493624,200,200
"mixed_factor","NN=200;a=1","aug-d-balance (residual)","VAR",0.458681992603,0.0239050580629891,0.246587433497109,0.35921380874671,200,200
"mixed_factor","NN=200;a=1","d-balance","fe",1.79058352199517,0.0225323438904824,1.7624253652431,1.7624253652431,200,200
"mixed_factor","NN=200;a=1","d-balance","gsynth",1.79058352199517,0.0225323438904824,1.7624253652431,1.7624253652431,200,200
"mixed_factor","NN=200;a=1","d-balance","ife",1.79058352199517,0.0225323438904824,1.7624253652431,1.7624253652431,200,200
"mixed_factor","NN=200;a=1","d-balance","MCPanel",1.79058352199517,0.0225323438904824,1.7624253652431,1.7624253652431,200,200
"mixed_factor","NN=200;a=1","d-balance","VAR",1.79058352199517,0.0225323438904824,1.7624253652431,1.7624253652431,200,200
"mixed_factor","NN=200;a=1","outcome","fe",4.16149958340748,0.0286119077888173,4.14105274570223,4.14105274570223,200,200
"mixed_factor","NN=200;a=1","outcome","gsynth",0.0909644290829524,0.00425060046904081,0.0262733817635625,0.0724176332464352,200,200
